TF_probe,Promoter_probe,TF_AGI,TF_Gene_Name,type,Promoter_AGI,Promoter_Gene_Name,NUE_num,TF.Family,Pearson,Spearman,GiffordPearson,GiffordSpearman
X250655_at,X262114_at,AT5G06960,OBF5,PD,AT1G02860,NLA,NUE060,BZIP,0.578326345,0.539687875,0.757317299,0.630769231
X251806_at,X255625_at,AT3G55370,OBP3,PD,AT4G01120,GBF2,GBF2,C2C2-DOF,0.019943193,-0.011476591,-0.539901404,-0.705494505
X253749_at,X266238_at,AT4G29080,PAP2,PD,AT2G29400,TOPP1,NUE031,AUX/IAA,0.552031677,0.538439376,0.212280772,0.151648352
X261800_at,X256311_at,AT1G30490,PHV,PD,AT1G30330,ARF6,ARF6,HB,0.502908174,0.502328932,0.079846481,0.094505495
X262135_at,X263472_at,AT1G78080,RAP2.4,PD,AT2G31955,CNX2,NUE120,AP2/EREBP,0.425033145,0.446530612,0.90319751,0.868131868
X250287_at,X252589_s_at,AT5G13330,Rap2.6L,PD,AT3G45650,NPF2.7,NUE066,AP2/EREBP,0.065784429,0.110972389,0.818616174,0.481318681
X250287_at,X247630_at,AT5G13330,Rap2.6L,PD,AT5G60410,SIZ1,NUE074,AP2/EREBP,0.560622481,0.462280912,0.482679623,0.345054945
X250287_at,X266238_at,AT5G13330,Rap2.6L,PD,AT2G29400,TOPP1,NUE031,AP2/EREBP,0.693687578,0.611812725,0.690612592,0.749450549
X260037_at,X263325_at,AT1G68840,RAV2,PD,AT2G04240,XERICO,NUE058,AP2/EREBP,0.216496303,0.272509004,0.57869537,0.718681319
X260037_at,X252589_s_at,AT1G68840,RAV2,PD,AT3G45650,NPF2.7,NUE066,AP2/EREBP,0.434130777,0.359135654,0.732572981,0.903296703
X260037_at,X262114_at,AT1G68840,RAV2,PD,AT1G02860,NLA,NUE060,AP2/EREBP,0.65181986,0.626314526,0.357027876,0.494505495
X255953_at,X267142_at,AT1G22070,TGA3,PD,AT2G38290,AMT2;1,NUE009,BZIP,0.474411455,0.353853541,0.718102416,0.384615385
X260813_at,X262180_at,AT1G43700,VIP1,PD,AT1G78050,PGM1,NUE124,BZIP,0.309438713,0.247346939,0.76027673,0.793406593
X256081_at,X245066_at,AT1G20700,WOX14,PD,AT2G39840,TOPP4,NUE034,HB,0.500401815,0.536902761,0.388053865,0.551648352
X255568_at,X256311_at,AT4G01250,WRKY22,PD,AT1G30330,ARF6,ARF6,WRKY,-0.125902249,-0.187611044,-0.735920999,-0.78021978
X267028_at,X249651_at,AT2G38470,WRKY33,PD,AT5G37020,ARF8,ARF8,WRKY,-0.239707688,-0.167058824,-0.593210099,-0.740659341
X251553_at,X262343_at,AT3G58710,WRKY69,PD,AT1G64040,TOPP3,NUE033,WRKY,-0.413941679,-0.407346939,-0.771376968,-0.753846154
X260488_at,X252415_at,AT1G51600,ZML2,PD,AT3G47340,ASN1,NUE018,C2C2-GATA,-0.006337676,0.03212485,0.753009282,0.767032967
