NRT2.1	AT1G08090
NRT3.1	AT5G50200
NIR1	AT2G15620
HRS1	AT1G13300
BT1	AT5G63160
BT2	AT3G48360
G6PD2	AT5G13110
G6PD3	AT1G24280
RFNR1	AT4G05390
RFNR2	AT1G30510
HHO2	AT1G68670
HHO3	AT1G25550
GRXS13	AT1G03850
GSR2	AT1G66200
ATL32	AT4G40070
NPF6.4	AT3G21670
AMT1.2	AT1G64780
AMT1.3	AT3G24300
NLP2	AT4G35270
GDH1	AT5G18170
GDH	AT4G24110

